"color","opening_name","n","avg_points","gracz","rodzaj"
"white","Hungarian Opening",1,1,"grooney","bullet"
"white","Mikenas Defense",1,1,"grooney","bullet"
"white","Saragossa Opening",1,1,"grooney","bullet"
"white","Tarrasch Defense",1,0.5,"grooney","bullet"
"white","Three Knights Opening",1,1,"grooney","bullet"
"white","Trompowsky Attack",1,0,"grooney","bullet"
"black","Indian Defense",18,0.611111111111111,"Mlodziak77","bullet"
"white","Sicilian Defense",18,0.555555555555556,"Mlodziak77","bullet"
"black","Modern Defense",12,0.666666666666667,"Mlodziak77","bullet"
"black","Russian Game",10,0.4,"Mlodziak77","bullet"
"white","Scandinavian Defense",10,0.7,"Mlodziak77","bullet"
"white","Three Knights Opening",9,0.555555555555556,"Mlodziak77","bullet"
"white","French Defense",8,0.5,"Mlodziak77","bullet"
"white","Zukertort Opening",8,0.625,"Mlodziak77","bullet"
"black","Queen's Pawn Game",7,0.428571428571429,"Mlodziak77","bullet"
"white","Caro-Kann Defense",7,0.428571428571429,"Mlodziak77","bullet"
"white","Pirc Defense",7,0.571428571428571,"Mlodziak77","bullet"
"black","Zukertort Opening",6,0.666666666666667,"Mlodziak77","bullet"
"black","Hungarian Opening",5,0.4,"Mlodziak77","bullet"
"black","Italian Game",5,0.9,"Mlodziak77","bullet"
"white","Four Knights Game",5,0.8,"Mlodziak77","bullet"
"white","Modern Defense",5,0.5,"Mlodziak77","bullet"
"black","Bishop's Opening",4,0.75,"Mlodziak77","bullet"
"black","Four Knights Game",4,0.5,"Mlodziak77","bullet"
"black","Scandinavian Defense",4,0.5,"Mlodziak77","bullet"
"white","Nimzo-Larsen Attack",4,0.5,"Mlodziak77","bullet"
"black","Center Game",3,0.333333333333333,"Mlodziak77","bullet"
"black","Englund Gambit",3,0.333333333333333,"Mlodziak77","bullet"
"white","Philidor Defense",3,1,"Mlodziak77","bullet"
"black","Caro-Kann Defense",2,0.5,"Mlodziak77","bullet"
"black","English Opening",2,0.5,"Mlodziak77","bullet"
"black","Englund Gambit Declined",2,0.5,"Mlodziak77","bullet"
"black","Mieses Opening",2,0.5,"Mlodziak77","bullet"
"black","Vienna Game",2,0.5,"Mlodziak77","bullet"
"white","Elephant Gambit",2,0,"Mlodziak77","bullet"
"white","Hungarian Opening",2,0.5,"Mlodziak77","bullet"
"white","Owen Defense",2,0.5,"Mlodziak77","bullet"
"white","Rat Defense",2,0,"Mlodziak77","bullet"
"white","Russian Game",2,1,"Mlodziak77","bullet"
"black","Bird Opening",1,0,"Mlodziak77","bullet"
"black","Englund Gambit Complex",1,0,"Mlodziak77","bullet"
"black","French Defense",1,0,"Mlodziak77","bullet"
"black","Goldsmith Defense",1,1,"Mlodziak77","bullet"
"black","King's Gambit Accepted",1,0,"Mlodziak77","bullet"
"black","King's Indian Attack",1,0,"Mlodziak77","bullet"
"black","King's Pawn Game",1,1,"Mlodziak77","bullet"
"black","Nimzo-Larsen Attack",1,0,"Mlodziak77","bullet"
"black","Owen Defense",1,1,"Mlodziak77","bullet"
"black","Ponziani Opening",1,1,"Mlodziak77","bullet"
"black","Queen's Gambit Declined",1,0,"Mlodziak77","bullet"
"black","Trompowsky Attack",1,1,"Mlodziak77","bullet"
"black","Van't Kruijs Opening",1,1,"Mlodziak77","bullet"
"black","Ware Opening",1,1,"Mlodziak77","bullet"
"white","Alekhine Defense",1,1,"Mlodziak77","bullet"
"white","Englund Gambit Complex",1,0.5,"Mlodziak77","bullet"
"white","Goldsmith Defense",1,0,"Mlodziak77","bullet"
"white","Indian Defense",1,1,"Mlodziak77","bullet"
"white","King's Gambit Accepted",1,0,"Mlodziak77","bullet"
"white","King's Knight Opening",1,0,"Mlodziak77","bullet"
"white","Nimzowitsch Defense",1,1,"Mlodziak77","bullet"
